CB2020,CT2020,BCTCB2020,GEOID,OBJECTID,CTLabel,BoroCT2020,NAME,DP03_0128PE,precinct
"3000","058200","30582003000","360470582003000",1722,"582","3058200",,,"61"
"3000","059200","30592003000","360470592003000",2240,"592","4059200",,,"61"
"3000","059402","30594023000","360470594023000",1732,"594.02","3059402",,,"61"
"3000","059403","30594033000","360470594033000",1733,"594.03","3059403",,,"61"
"3000","059404","30594043000","360470594043000",1734,"594.04","3059404",,,"61"
"3000","059600","30596003000","360470596003000",2233,"596","4059600",,,"61"
"3000","060000","30600003000","360470600003000",2236,"600","4060000",,,"61"
"3000","060800","30608003000","360470608003000",1739,"608","3060800",,,"61"
"3000","062800","30628003000","360470628003000",2142,"628","3062800",,,"61"
"3001","038800","30388003001","360470388003001",1559,"388","3038800",,,"61"
"3001","039400","30394003001","360470394003001",1564,"394","3039400",,,"61"
"3001","040000","30400003001","360470400003001",1569,"400","3040000",,,"61"
"3001","040200","30402003001","360470402003001",1571,"402","3040200",,,"61"
"3001","042200","30422003001","360470422003001",1592,"422","3042200",,,"61"
"3001","055000","30550003001","360470550003001",1697,"550","3055000",,,"61"
"3001","055200","30552003001","360470552003001",2227,"552","4055200",,,"61"
"3001","055400","30554003001","360470554003001",1700,"554","3055400",,,"61"
"3001","055600","30556003001","360470556003001",1701,"556","3055600",,,"61"
"3001","056000","30560003001","360470560003001",1704,"560","3056000",,,"61"
"3001","056400","30564003001","360470564003001",2057,"564","4056400",,,"61"
"3001","057000","30570003001","360470570003001",1713,"570","3057000",,,"61"
"3001","058200","30582003001","360470582003001",1722,"582","3058200",,,"61"
"3001","059200","30592003001","360470592003001",2240,"592","4059200",,,"61"
"3001","059402","30594023001","360470594023001",1732,"594.02","3059402",,,"61"
"3001","059403","30594033001","360470594033001",1733,"594.03","3059403",,,"61"
"3001","059404","30594043001","360470594043001",1734,"594.04","3059404",,,"61"
"3001","059600","30596003001","360470596003001",2233,"596","4059600",,,"61"
"3001","060000","30600003001","360470600003001",2236,"600","4060000",,,"61"
"3001","060800","30608003001","360470608003001",1739,"608","3060800",,,"61"
"3001","062800","30628003001","360470628003001",2142,"628","3062800",,,"61"
"3002","038800","30388003002","360470388003002",1559,"388","3038800",,,"61"
"3002","039400","30394003002","360470394003002",1564,"394","3039400",,,"61"
"3002","040000","30400003002","360470400003002",1569,"400","3040000",,,"61"
"3002","042200","30422003002","360470422003002",1592,"422","3042200",,,"61"
"3002","055000","30550003002","360470550003002",1697,"550","3055000",,,"61"
"3002","055200","30552003002","360470552003002",2227,"552","4055200",,,"61"
"3002","055600","30556003002","360470556003002",1701,"556","3055600",,,"61"
"3002","056400","30564003002","360470564003002",2057,"564","4056400",,,"61"
"3002","058200","30582003002","360470582003002",1722,"582","3058200",,,"61"
"3002","059200","30592003002","360470592003002",2240,"592","4059200",,,"61"
"3002","059402","30594023002","360470594023002",1732,"594.02","3059402",,,"61"
"3002","059403","30594033002","360470594033002",1733,"594.03","3059403",,,"61"
"3002","059600","30596003002","360470596003002",2233,"596","4059600",,,"61"
"3002","060000","30600003002","360470600003002",2236,"600","4060000",,,"61"
